n:conj:n	yx	X=friend	Y=companion	phrases=friend and companion 
n:dep:n->firm->n:dep:n	yx	X=state	Y=revocation	phrases=state - owned firms , not complete revocation 
n:nsubj:v<-come->v:prep:IN->across->IN:pobj:n	yx	X=group	Y=people	phrases=group came across the Turkish people 
n:nn:n<-Kelly->n:nn:n	yx	X=chief	Y=executive	phrases=chief executive 
n:prep:IN->on->IN:pobj:n	yx	X=construction	Y=complex	phrases=Construction on the complex 
n:conj:n	yx	X=safety	Y=security	phrases=safety and security 
n:prep:IN->of->IN:pobj:n->buildup->n:nn:n	yx	X=part	Y=World	phrases=part of their World 
n:xcomp:v->guarantee->v:dobj:n	yx	X=pact	Y=peace	phrases=pact to guarantee peace 
n:prep:IN->of->IN:pobj:n	yx	X=part	Y=game	phrases=part of the Pacers ' game 
n:dobj:v<-have<-v:advcl:v<-undercut->v:dobj:n	yx	X=chance	Y=day	phrases=chance of becoming law , it undercut Clinton a day 
n:nsubj:v<-have->v:dobj:n	yx	X=measure	Y=chance	phrases=measure had no chance 
n:nsubj:v<-stay->v:prep:IN->in->IN:pobj:n	yx	X=office	Y=headquarters	phrases=offices for foreign affairs , refugees and its relations with Israel and Jewish organizations would stay in its Tunis headquarters 
n:nsubj:v<-get->v:prep:IN->with->IN:pobj:n	yx	X=competition	Y=favorite	phrases=competition proper gets under way with the French favorite 
n:partmod:v->number->v:dobj:n	yx	X=family	Y=people	phrases=families , numbering around 300 people 
n:conj:n	yx	X=man	Y=boy	phrases=men and boys 
n:infmod:v->guarantee->v:dobj:n	yx	X=pact	Y=peace	phrases=pact to guarantee peace 
n:infmod:v->approach->v:dobj:n	yx	X=reason	Y=occasion	phrases=reason to approach with confidence an occasion 
n:prep:TO->to->TO:pobj:n	yx	X=response	Y=comeback	phrases=response to last week 's triumphant comeback 
n:nsubj:v<-turn->v:xcomp:v->give->v:iobj:n	yx	X=man	Y=officer	phrases=men , women and youngsters eventually turned out to give the officers 
n:prep:IN->for->IN:pobj:n->victory->n:nn:n	yx	X=source	Y=home	phrases=source for their last-ditch home 
n:nsubj:v<-be->v:advcl:n	yx	X=opportunity	Y=crack	phrases=opportunity is if he cracks 
n:nsubj:v<-aid->v:prep:IN->against->IN:pobj:n	yx	X=unit	Y=force	phrases=unit was aiding the government of Oman against rebel forces 
n:dobj:v<-have<-v:advcl:v<-undercut->v:dobj:n	yx	X=chance	Y=day	phrases=chance of becoming law , it undercut Clinton a day 
n:prep:IN->on->IN:pobj:n	yx	X=decision	Y=appointment	phrases=decision on his appointment 
n:prep:IN->of->IN:pobj:n->Abacha->n:nn:n	yx	X=head	Y=General	phrases=head of state General 
n:dep:n->firm->n:dep:n	yx	X=state	Y=revocation	phrases=state - owned firms , not complete revocation 
n:poss:n	yx	X=nation	Y=power	phrases=nation 's purchasing power 
n:rcmod:v->illuminate->v:prep:IN->from->IN:pobj:n	yx	X=someone	Y=birth	phrases=someone who really illuminated the stages of the life cycle from birth 
n:prep:IN->in->IN:pobj:n	yx	X=concern	Y=world	phrases=concerns in the modern world 
n:nsubjpass:v<-see<-v:advcl:v<-cut->v:nsubjpass:n	yx	X=show	Y=film	phrases=shows can be seen in many night spots , films 
n:dobj:v<-have<-v:advcl:v<-undercut->v:dobj:n	yx	X=chance	Y=day	phrases=chance of becoming law , it undercut Clinton a day 
n:nsubj:v<-hand->v:prep:TO->to->TO:pobj:n	yx	X=official	Y=officer	phrases=officials handed over at least three buildings to Palestinian police officers 
n:nsubj:v<-hand->v:prep:TO->to->TO:pobj:n	yx	X=official	Y=officer	phrases=officials handed over at least three buildings to Palestinian police officers 
n:conj:JJ<-nuclear<-JJ:nsubj:v<-top->v:dobj:n	yx	X=program	Y=agenda	phrases=programs will top Prime Minister P.V. Narasimha Rao 's agenda 
n:conj:n	yx	X=official	Y=diplomat	phrases=officials and US diplomats 
n:nsubj:n	yx	X=country	Y=center	phrases=country an attractive investment center 
n:appos:n->Hartono->n:nn:n	yx	X=head	Y=General	phrases=head of the army 's powerful social and political division , General 
n:nsubj:n	yx	X=remark	Y=reflection	phrases=remarks , which were read to a seminar here and then given widespread publicity in the national media the next day , were a reflection 
n:poss:n	yx	X=country	Y=safety	phrases=country 's air safety 
n:nn:n	yx	X=news	Y=report	phrases=news report 
n:nsubj:v<-have->v:advcl:v->get->v:nsubj:n	yx	X=officer	Y=captain	phrases=officer has a starting salary of 21,000 Hong Kong dollars -LRB- 2,691 US -RRB- per month , while senior captains 
n:pobj:IN<-under<-IN:prep:v<-allow->v:nsubjpass:n	yx	X=set	Y=company	phrases=set of regulations drafted by the ministry , insurance companies 
n:nsubjpass:v<-allow->v:xcomp:v->set->v:dobj:n	yx	X=company	Y=subsidiary	phrases=companies from other countries will be allowed to set up subsidiaries 
n:nsubj:v<-hand->v:prep:TO->to->TO:pobj:n	yx	X=official	Y=officer	phrases=officials handed over five buildings to Palestinian officers 
n:appos:n	yx	X=metre	Y=foot	phrases=metres -LRB- 957 square feet 
n:appos:n	yx	X=metre	Y=foot	phrases=metres -LRB- 1,171 square feet 
n:conj:n<-explosive->n:conj:n	yx	X=equipment	Y=material	phrases=equipment and other raw materials 
n:xcomp:v<-name<-v:ccomp:v<-say->v:nsubj:n	yx	X=expert	Y=analyst	phrases=expert to head the country 's film , radio and television ministry , an indication that the communist party wants to strengthen its ideological control , political analysts 
n:prep:IN->in->IN:pobj:n	yx	X=status	Y=face	phrases=status in the face 
n:nn:n<-Kullavanijaya->n:nn:n	yx	X=chief	Y=General	phrases=chief General 
n:ccomp:v->sit->v:prep:IN->with->IN:pobj:n	yx	X=fact	Y=general	phrases=fact that I am sitting down with Palestinian generals 
n:ccomp:v->sit->v:prep:IN->with->IN:pobj:n	yx	X=fact	Y=general	phrases=fact that I am sitting down with Palestinian generals 
n:prep:IN->as->IN:pobj:n	yx	X=death	Y=loss	phrases=death as the loss 
n:prep:IN->of->IN:pobj:n->preparation->n:nn:n	yx	X=part	Y=World	phrases=part of our World 
n:appos:n	yx	X=metre	Y=foot	phrases=metres -LRB- 825 feet 
n:conj:n	yx	X=soldier	Y=militiaman	phrases=soldiers and militiamen 
n:conj:n<-firewood->n:conj:n	yx	X=food	Y=water	phrases=food or water 
n:rcmod:n	yx	X=market	Y=monopoly	phrases=market , where basic telephone services have until now been a government monopoly 
n:conj:n->settlement->n:prep:IN->in->IN:pobj:n	yx	X=region	Y=territory	phrases=regions , the future status of Jerusalem , refugees , Jewish settlements in occupied territories 
n:prep:IN->from->IN:pcomp:v->realize->v:dobj:n	yx	X=way	Y=aim	phrases=way from realizing its aim 
n:prep:IN->in->IN:pobj:n	yx	X=center	Y=capital	phrases=center in the Vietnamese capital 
n:prep:IN->since->IN:pobj:n	yx	X=action	Y=war	phrases=action since the war 
n:num:n	yx	X=period	Y=year	phrases=period five to 10 years 
n:dep:n	yx	X=period	Y=year	phrases=period last year 
n:infmod:v->agree->v:conj:v->end->v:dobj:n	yx	X=effort	Y=war	phrases=effort to agree a workable peace plan for Bosnia - Hercegovina and end the civil war 
n:prep:IN->from->IN:pcomp:v->realize->v:dobj:n	yx	X=way	Y=aim	phrases=way from realizing its aim 
n:conj:n	yx	X=building	Y=house	phrases=building , the post office , a court house 
n:appos:n	yx	X=metre	Y=foot	phrases=metres -LRB- 825 feet 
n:dobj:v<-take->v:prep:IN->at->IN:pobj:n	yx	X=place	Y=end	phrases=place at the end 
n:appos:n->Chavez->n:nn:n	yx	X=leader	Y=commander	phrases=leader of the first attempted coup , commander 
n:prep:IN->of->IN:pobj:n	yx	X=part	Y=world	phrases=parts of the world 
n:prep:IN->of->IN:pobj:n	yx	X=center	Y=capital	phrases=center of the Rwandan capital 
n:conj:n	yx	X=embankment	Y=wall	phrases=embankment and a wall 
n:dep:n->bullet->n:conj:n	yx	X=injury	Y=wound	phrases=injury -- amputation , rape , beatings , bullet and shell wounds 
n:conj:n	yx	X=wound	Y=cut	phrases=wounds and machete cuts 
n:rcmod:v->give->v:dobj:n->title->n:nn:n	yx	X=victory	Y=Slam	phrases=victory at the French Open , which would give him four Grand Slam 
n:prep:IN->of->IN:pobj:n	yx	X=symptom	Y=Syndrome	phrases=symptoms of the so-called `` Persian Gulf Syndrome 
n:nsubj:v<-include->v:dobj:n->fatigue->n:conj:n	yx	X=symptom	Y=diarrhea	phrases=symptoms of the so-called `` Persian Gulf Syndrome '' have included chronic fatigue , arthritis , insomnia , hair loss , nervous breakdowns , respiratory problems and diarrhea 
n:nsubj:n<-pesticide->n:conj:n	yx	X=cause	Y=agent	phrases=causes are pesticides , desert parasites or chemical or biological agents 
n:nsubj:v<-bring->v:xcomp:v->provide->v:dobj:n	yx	X=company	Y=service	phrases=companies bring their telecom dollars to provide phone services 
n:prep:IN->of->IN:pobj:n->people->n:rcmod:n	yx	X=market	Y=monopoly	phrases=market of nearly 900 million people , where basic telephone services have been a government monopoly 
n:dobj:v<-supply->v:prep:IN->for->IN:pobj:n	yx	X=equipment	Y=satellite	phrases=equipment for Malaysia 's first telecommunications satellite 
n:conj:n	yx	X=explosion	Y=blast	phrases=explosion in a litter bin outside Harrod 's in January last year , in which four people were injured , and a blast 
n:amod:JJ->worth->JJ:dep:n->mark->n:appos:n	yx	X=banknote	Y=dollar	phrases=banknotes worth one million marks -LRB- 606,000 dollars 
n:iobj:v<-sit->v:prep:IN->in->IN:pobj:n	yx	X=point	Y=place	phrases=point clear of Kilmarnock , who are in turn a point ahead of Saints in the third relegation place 
n:dobj:v<-sit->v:prep:IN->in->IN:pobj:n	yx	X=point	Y=place	phrases=point ahead of Saints in the third relegation place 
n:prep:IN->on->IN:pobj:n	yx	X=release	Y=parole	phrases=release on parole 
n:prep:IN->of->IN:pobj:n	yx	X=part	Y=stake	phrases=part of its 100 percent stake 
n:dobj:v<-raise->v:prep:IN->with->IN:pobj:n	yx	X=fund	Y=issue	phrases=funds in the Japanese market for the first time with a 30 billion yen -LRB- 290 million dollar -RRB- issue 
n:prep:IN->of->IN:pobj:n	yx	X=part	Y=world	phrases=parts of the world 
n:dep:v<-give<-v:prep:n	yx	X=communication	Y=sign	phrases=communications and technical capacity , its grave logistical problems with organising elections are a very bad sign 
n:nsubj:v<-attack->v:dobj:n->post->n:nn:n	yx	X=force	Y=command	phrases=forces attacked command 
n:prep:IN->of->IN:pobj:n->buildup->n:nn:n	yx	X=part	Y=World	phrases=part of their World 
n:nn:n	yx	X=news	Y=report	phrases=News reports 
n:nn:n	yx	X=news	Y=report	phrases=News reports 
n:conj:n<-station->n:conj:n	yx	X=building	Y=house	phrases=buildings , the post office , a court house 
n:appos:n	yx	X=metre	Y=foot	phrases=metres -LRB- 825 feet 
n:nsubjpass:v<-need->v:xcomp:v->finance->v:dobj:n	yx	X=investment	Y=venture	phrases=investments would be needed to finance such a venture 
n:nn:n<-project->n:nn:n	yx	X=defense	Y=conversion	phrases=defense conversion 
n:conj:n	yx	X=plant	Y=factory	phrases=plants and factories 
n:partmod:v->hold->v:prep:IN->by->IN:pobj:n	yx	X=position	Y=Front	phrases=positions held by the rebel Rwanda Patriotic Front 
n:prep:IN->as->IN:pobj:n->overcrowding->n:conj:n	yx	X=difficulty	Y=problem	phrases=difficulties as overcrowding at Orly , environmental problems 
n:prep:IN->of->IN:pobj:n	yx	X=part	Y=world	phrases=parts of the world 
n:nn:n	yx	X=tobacco	Y=smoke	phrases=tobacco smoke 
n:nn:n<-prosecutor<-n:poss:n	yx	X=state	Y=office	phrases=state prosecutor 's office 
n:nn:n	yx	X=business	Y=field	phrases=business field 
n:nsubj:v<-move->v:prep:IN->except->IN:pobj:n	yx	X=metal	Y=nickel	phrases=metals on the London Metals Exchange -LRB- LME -RRB- moved little , except nickel 
n:dobj:n->producer->n:poss:n	yx	X=group	Y=world	phrases=groups the world 
n:infmod:v->agree->v:conj:v->end->v:dobj:n	yx	X=effort	Y=war	phrases=effort to agree a workable peace plan for Bosnia-Hercegovina and end the war 
n:infmod:v->accept->v:dobj:n->rice->n:conj:n	yx	X=agreement	Y=accord	phrases=agreement to accept imported rice , an accord 
n:prep:IN->of->IN:pobj:n	yx	X=guarantee	Y=security	phrases=guarantees of security 
n:prep:IN->of->IN:pobj:n	yx	X=permission	Y=authority	phrases=permission of the Chinese judicial authorities 
n:dobj:v<-owe->v:prep:TO->to->TO:pobj:n	yx	X=rise	Y=lift	phrases=rise to a signifcant lift 
n:prep:IN->of->IN:pobj:n	yx	X=permission	Y=authority	phrases=permission of the Chinese judicial authorities 
n:conj:n	yx	X=state	Y=Union	phrases=states plus the European Union 
n:nsubj:v<-claim->v:ccomp:v->have->v:dobj:n	yx	X=side	Y=hand	phrases=sides claiming they had the upper hand 
n:prep:IN->of->IN:pobj:n	yx	X=resolve	Y=purpose	phrases=resolve and unity of purpose 
n:prep:IN->of->IN:pobj:n->force->n:conj:n	yx	X=separation	Y=withdrawal	phrases=separation of forces , the withdrawal 
n:conj:n->interposition->n:prep:IN->of->IN:pobj:n	yx	X=force	Y=troops	phrases=forces , the withdrawal of heavy weapons and the interposition of UNPROFOR troops 
n:num:n	yx	X=period	Y=month	phrases=period of four months 
n:dobj:v<-reach->v:prep:IN->in->IN:pobj:n	yx	X=people	Y=nation	phrases=people in a nation 
n:prep:IN->of->IN:pobj:n->force->n:conj:n	yx	X=separation	Y=withdrawal	phrases=separation of forces , the withdrawal 
n:conj:n->interposition->n:prep:IN->of->IN:pobj:n	yx	X=force	Y=troops	phrases=forces , the withdrawal of heavy weapons and the interposition of UNPROFOR -LRB- UN Protection Force -RRB- troops 
n:conj:n<-power<-n:nn:n	yx	X=communication	Y=line	phrases=communication lines 
n:dep:v->charge->v:conj:n	yx	X=increase	Y=rise	phrases=increase in the rate that banks charge each other to four percent and a similar rise 
n:conj:n<-power<-n:nn:n	yx	X=communication	Y=line	phrases=communication lines 
n:conj:n<-power<-n:nn:n	yx	X=communication	Y=line	phrases=communication lines 
n:nsubjpass:v<-compose->v:prep:IN->of->IN:pobj:n	yx	X=force	Y=troops	phrases=force would be composed of troops 
n:nsubjpass:v<-compose->v:conj:v->include->v:dobj:n	yx	X=force	Y=troops	phrases=force would be composed of troops from Tanzania , Nigeria , Ghana , Senegal and Australia , and would include 800 troops 
n:conj:n	yx	X=pain	Y=distress	phrases=pain , sleeplessness , anguish , and pychological and emotional distress 
n:nsubjpass:v<-compose->v:prep:IN->of->IN:pobj:n	yx	X=force	Y=troops	phrases=force would be composed of troops 
n:nsubjpass:v<-compose->v:conj:v->include->v:dobj:n	yx	X=force	Y=troops	phrases=force would be composed of troops from Tanzania , Nigeria , Ghana , Senegal and Australia , and would include 800 troops 
n:prep:IN->from->IN:pobj:n	yx	X=team	Y=squad	phrases=team from the Yard 's international and organised crime squad 
n:conj:n	yx	X=state	Y=Union	phrases=states plus the European Union 
n:rcmod:v->think->v:xcomp:n	yx	X=case	Y=time	phrases=case , which is thought to be the first time 
n:conj:n<-power<-n:nn:n	yx	X=communication	Y=line	phrases=communication lines 
n:nn:n	yx	X=communication	Y=line	phrases=communication lines 
n:nsubjpass:v<-compose->v:prep:IN->of->IN:pobj:n	yx	X=force	Y=troops	phrases=force would be composed of troops 
n:conj:JJ<-nuclear<-JJ:nsubj:v<-top->v:dobj:n	yx	X=program	Y=agenda	phrases=programs will top Rao 's agenda 
n:nn:n	yx	X=news	Y=report	phrases=news reports 
n:nsubj:v<-be->v:xcomp:v->boost->v:dobj:n	yx	X=company	Y=number	phrases=company is to boost the number 
n:nsubj:v<-reciprocate->v:dobj:n	yx	X=visit	Y=call	phrases=visit will reciprocate a port call 
n:conj:n<-ability->n:conj:n	yx	X=honor	Y=reputation	phrases=honor and good reputation 
n:appos:n	yx	X=ability	Y=skill	phrases=ability , skill 
n:nn:n	yx	X=state	Y=power	phrases=state power 
n:prep:IN->of->IN:pobj:n	yx	X=construction	Y=complex	phrases=construction of a three billion peso -LRB- 107 million dollar -RRB- office complex 
n:nn:n	yx	X=news	Y=report	phrases=news reports 
n:nn:n	yx	X=news	Y=report	phrases=News reports 
n:prep:IN->of->IN:pobj:n	yx	X=post	Y=presidency	phrases=post of presidency 
n:conj:n	yx	X=casualty	Y=damage	phrases=casualty or damage 
n:poss:n<-League->n:nn:n	yx	X=man	Y=World	phrases=men 's volleyball World 
n:prep:IN->of->IN:pobj:n->injury->n:conj:n	yx	X=variety	Y=strain	phrases=variety of injuries and strains 
n:conj:n	yx	X=injury	Y=strain	phrases=injuries and strains 
n:conj:n	yx	X=casualty	Y=damage	phrases=casualty or damage 
n:prep:IN->from->IN:pobj:n->ministry->n:nn:n	yx	X=team	Y=defense	phrases=team from the defense 
n:nsubj:v<-mean->v:dobj:n	yx	X=change	Y=break	phrases=change since right-wing media magnate Silvio Berlusconi took over as prime minister following March elections `` does not mean a break 
